day,time_slot,classes_running
Tuesday,16:00,192
Tuesday,15:00,180
Wednesday,16:00,178
Wednesday,15:00,178
Thursday,16:00,176
Friday,10:00,174
Wednesday,10:00,174
Wednesday,09:00,172
Monday,15:00,170
Tuesday,10:00,169
Tuesday,09:00,169
Monday,14:00,164
Friday,11:00,162
Monday,16:00,161
Thursday,09:00,161
Friday,09:00,159
Monday,10:00,159
Thursday,10:00,159
Tuesday,14:00,158
Monday,09:00,157
Wednesday,11:00,157
Friday,14:00,156
Thursday,15:00,151
Thursday,14:00,151
Wednesday,14:00,148
Thursday,11:00,147
Monday,11:00,146
Friday,15:00,146
Tuesday,11:00,143
Friday,16:00,132
Thursday,12:00,117
Wednesday,12:00,113
Monday,13:00,112
Friday,12:00,111
Monday,12:00,105
Tuesday,13:00,102
Friday,13:00,101
Thursday,13:00,97
Tuesday,12:00,93
Wednesday,13:00,90
Sunday,10:00,45
Sunday,11:00,42
Sunday,09:00,39
Sunday,12:00,37
Sunday,15:00,30
Saturday,10:00,29
Sunday,14:00,28
Saturday,09:00,21
Saturday,11:00,21
Saturday,12:00,17
Saturday,14:00,13
Tuesday,19:00,12
Saturday,15:00,9
Monday,19:00,9
Tuesday,20:00,8
Friday,17:00,8
Thursday,19:00,8
Sunday,16:00,7
Sunday,17:00,6
Monday,20:00,6
Thursday,20:00,6
Monday,17:00,6
Saturday,13:00,5
Friday,19:00,4
Saturday,16:00,4
Friday,20:00,4
Friday,18:00,3
Thursday,17:00,3
Saturday,17:00,3
Thursday,18:00,3
Saturday,18:00,2
Monday,18:00,2
Wednesday,18:00,2
Sunday,18:00,2
Saturday,19:00,2
Sunday,13:00,2
Tuesday,18:00,2
Saturday,20:00,1
Tuesday,17:00,1
Wednesday,17:00,1
