room_name,used_slots,utilization_percent
5019_BL5_GF,25,29.761904761904763
3202_BL3_SF,25,29.761904761904763
2014_BL2_GF,25,29.761904761904763
2115_BL2_FF,24,28.57142857142857
7204_Srix_SF,24,28.57142857142857
3117_BL3_FF,24,28.57142857142857
3212_B_BL3_SF,24,28.57142857142857
6103-BL6-FF,24,28.57142857142857
6104-BL6-FF,24,28.57142857142857
3209_BL3_SF,23,27.380952380952383
6102-BL6-FF,22,26.190476190476193
6105-BL6-FF,22,26.190476190476193
5022_BL5_GF,21,25.0
4407_BL4_GF,20,23.809523809523807
3213_A_BL3_SF,20,23.809523809523807
7105_Srix_FF,19,22.61904761904762
3208_BL3_SF,18,21.428571428571427
5017_BL5_GF,18,21.428571428571427
2012_BL2_GF,18,21.428571428571427
3213_B_BL3_SF,18,21.428571428571427
3216_BL3_SF,17,20.238095238095237
3218_BL3_SF,17,20.238095238095237
3217_BL3_SF,17,20.238095238095237
4610_BL4_GF,16,19.047619047619047
5016_BL5_GF,16,19.047619047619047
6101-BL6-FF,16,19.047619047619047
6206-BL6-SF,16,19.047619047619047
5012_BL5_GF,14,16.666666666666664
2213_B_BL2_SF,12,14.285714285714285
5015_BL5_GF,11,13.095238095238097
Field instructional classroom-4,10,11.904761904761903
Field instructional classroom-5,10,11.904761904761903
5024_BL5_GF,10,11.904761904761903
Field instructional classroom-3,10,11.904761904761903
7004_Srix_GF,10,11.904761904761903
6201-BL6-SF,10,11.904761904761903
Field instructional classroom-2,10,11.904761904761903
5023_BL5_GF,10,11.904761904761903
Field instructional classroom-1,10,11.904761904761903
6202-BL6-SF,9,10.714285714285714
1009,8,9.523809523809524
1013_A,8,9.523809523809524
1011,8,9.523809523809524
1203_BL1_SF,8,9.523809523809524
RAWEP- agriculture- 01,8,9.523809523809524
2013-BL-2-GF,7,8.333333333333332
5007_A_BL5_GF,6,7.142857142857142
7201-SRiX-SF,6,7.142857142857142
3112A_BL3_FF,6,7.142857142857142
7205-SRiX-SF,6,7.142857142857142
2011-BL-2-GF,5,5.952380952380952
2015-BL-2-GF,4,4.761904761904762
2004-BL-2-GF,4,4.761904761904762
6205-BL6-SF,4,4.761904761904762
7005_Srix_GF,4,4.761904761904762
3013_A,4,4.761904761904762
2204,4,4.761904761904762
4814_BL4_GF,4,4.761904761904762
7202-SRiX-SF,3,3.571428571428571
1013_B,2,2.380952380952381
3013_B,2,2.380952380952381
7003_B_BL7_GF,2,2.380952380952381
8205,2,2.380952380952381
4712_BL4_GF,2,2.380952380952381
7003_A_BL7_GF,2,2.380952380952381
8202,2,2.380952380952381
8204,2,2.380952380952381
2005_BL2_GF,1,1.1904761904761905
1104_B_BL1_FF,1,1.1904761904761905
